"trabajar","(to) work, (?) does she work, acted","People-2","https://preview.duolingo.com/dictionary/Spanish/trabajar/d343cb4b97a7fa488507f301afcc708e","","https://translate.google.com/?sl=es&tl=en&text=trabajar%0A&op=translate"
"fueron unos","they were about","Nature","https://preview.duolingo.com/dictionary/es/translation/en/ZnVlcm9uIHVub3M=","","https://translate.google.com/?sl=es&tl=en&text=fueron+unos%0A&op=translate"
"estudiar","study, (to) study, studying","People-2","https://preview.duolingo.com/dictionary/Spanish/estudiar/940d33e51419bfe12c2ab251232a1a9e","","https://translate.google.com/?sl=es&tl=en&text=estudiar%0A&op=translate"
"chaqueta","jacket, coat","Shopping","https://preview.duolingo.com/dictionary/Spanish/chaqueta/9183ab9d2e829a888a852120e2cf8061","","https://translate.google.com/?sl=es&tl=en&text=chaqueta%0A&op=translate"
"ganas","(you) earn, (you) win","Phrases-2","https://preview.duolingo.com/dictionary/Spanish/ganas/decffeee559b93f88a25a70f704e2a05","","https://translate.google.com/?sl=es&tl=en&text=ganas%0A&op=translate"
"le","he, him, her","Chitchat","https://preview.duolingo.com/dictionary/Spanish/le/284a2d5cf03daa3e84dad77377cc70d7","","https://translate.google.com/?sl=es&tl=en&text=le%0A&op=translate"
"falda","skirt","Shopping","https://preview.duolingo.com/dictionary/Spanish/falda/f4ff4438aca7ec3fa42f861b96b2f9e1","","https://translate.google.com/?sl=es&tl=en&text=falda%0A&op=translate"
"partido","game, party, match","Schedule","https://preview.duolingo.com/dictionary/Spanish/partido/f82cd30e548ff6099c670d51a6020207","","https://translate.google.com/?sl=es&tl=en&text=partido%0A&op=translate"
"perder","(to) lose, (to) miss, failed","Goforit","https://preview.duolingo.com/dictionary/Spanish/perder/d8922c9d21eecde5449ff720dc073675","","https://translate.google.com/?sl=es&tl=en&text=perder%0A&op=translate"
"les interesa","(they) are interested in, (?) are you interested in","Interests","https://preview.duolingo.com/dictionary/Spanish/les-interesa/e97803d410814e92fe0d4c0e20fcb8fa","","https://translate.google.com/?sl=es&tl=en&text=les+interesa%0A&op=translate"
"nos llamas","call us","Connection","https://preview.duolingo.com/dictionary/Spanish/nos-llamas/cbd10a267a23020b4725078bdc4fcbcf","","https://translate.google.com/?sl=es&tl=en&text=nos+llamas%0A&op=translate"
"encantar","(to) love, love","Nature","https://preview.duolingo.com/dictionary/Spanish/encantar/7c4bc6e1c9735749219fc9320b6b7c64","","https://translate.google.com/?sl=es&tl=en&text=encantar%0A&op=translate"
"mucho","a lot, a lot of, much","School","https://preview.duolingo.com/dictionary/Spanish/mucho/d9d44907866fe63c13bc623cf707fee8","","https://translate.google.com/?sl=es&tl=en&text=mucho%0A&op=translate"
"perdonar","(to) forgive, (to) pardon, (to) write off","Directions","https://preview.duolingo.com/dictionary/Spanish/perdonar/4e36d0ff933e62bbd105907123e457a6","","https://translate.google.com/?sl=es&tl=en&text=perdonar%0A&op=translate"
"caminar","(to) walk, walking, (to) go for a walk","Leisure","https://preview.duolingo.com/dictionary/Spanish/caminar/c938ffe32a9efed9e71530a44dd213fe","","https://translate.google.com/?sl=es&tl=en&text=caminar%0A&op=translate"
"café","cafeteria, cafe, café","Restaurant","https://preview.duolingo.com/dictionary/Spanish/cafeter%C3%ADa/70d8ec4c6183839f1528be6952546898","","https://translate.google.com/?sl=es&tl=en&text=caf%C3%A9%0A&op=translate"
"va a","","Travel-4","https://preview.duolingo.com/dictionary/es/translation/en/dmEgYQ==","","https://translate.google.com/?sl=es&tl=en&text=va+a%0A&op=translate"
"estar","be, (to) be, (to) stay","Travel-4","https://preview.duolingo.com/dictionary/Spanish/estar/976b895693fcb3a738db335d69287eae","","https://translate.google.com/?sl=es&tl=en&text=estar%0A&op=translate"
"tercer","third","Shopping-4","https://preview.duolingo.com/dictionary/Spanish/tercer/2d714a10c9f2d1bc15e9f3c258dab9a0","","https://translate.google.com/?sl=es&tl=en&text=tercer%0A&op=translate"
"tienes que","need, (you) have to, (you) need","Routines","https://preview.duolingo.com/dictionary/Spanish/tienes-que/a0d52ccfbe413374046b1f4724cab1f4","","https://translate.google.com/?sl=es&tl=en&text=tienes+que%0A&op=translate"
"pensar","(to) think, think, thinking","Plans","https://preview.duolingo.com/dictionary/Spanish/pensar/e0930ceb20c26be239b72bcf69fdf951","","https://translate.google.com/?sl=es&tl=en&text=pensar%0A&op=translate"
"parar","stop, quit","School-4","https://preview.duolingo.com/dictionary/Spanish/parar/ee0f48d4e21f087a19cb4cc01d7428c5","","https://translate.google.com/?sl=es&tl=en&text=parar%0A&op=translate"
"venir","come, (to) come, coming","Plans","https://preview.duolingo.com/dictionary/Spanish/venir/d8eed0f08ea86ab90c2fcb981afaeec3","","https://translate.google.com/?sl=es&tl=en&text=venir%0A&op=translate"
"soñar","(to) dream, dream, dreaming","Home","https://preview.duolingo.com/dictionary/Spanish/so%C3%B1ar/c91e77d310a65c0721b7fe0d75b59388","","https://translate.google.com/?sl=es&tl=en&text=so%C3%B1ar%0A&op=translate"
"tú escribes","you write","Activities","https://preview.duolingo.com/dictionary/es/translation/en/dMO6IGVzY3JpYmVz","","https://translate.google.com/?sl=es&tl=en&text=t%C3%BA+escribes%0A&op=translate"
"ellas","they, them","People-4","https://preview.duolingo.com/dictionary/Spanish/ellas/e79b8e4e31f573135c6cfb618b051793","","https://translate.google.com/?sl=es&tl=en&text=ellas%0A&op=translate"
"nuevos","new, newer, newest","Fashion","https://preview.duolingo.com/dictionary/Spanish/nuevos/58838928014ed5c39205f1f8c84d42a0","","https://translate.google.com/?sl=es&tl=en&text=nuevos%0A&op=translate"
