"andarci","go there, (to) go, (to) to go along","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/andarci/10096a83e0c830a337675c146de4235e","","https://translate.google.com/?sl=it&tl=en&text=andarci%0A&op=translate"
"farlo","do it, make it","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/farlo/5d1044d16be68b8f431cee5c86d6970b","","https://translate.google.com/?sl=it&tl=en&text=farlo%0A&op=translate"
"altro","else, other","Determiners","https://preview.duolingo.com/dictionary/Italian/altro/c223c3be42de2635718deaeeb5be8c98","","https://translate.google.com/?sl=it&tl=en&text=altro%0A&op=translate"
"pensarci","(to) think (of it)","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/pensarci/a3a08d8e4fe1cef45cb118118f2d120d","","https://translate.google.com/?sl=it&tl=en&text=pensarci%0A&op=translate"
"non","not, do not, won't","Common-Phrases","https://preview.duolingo.com/dictionary/Italian/non/df1c0a0e1f194e6be81db84f05a46e2b","","https://translate.google.com/?sl=it&tl=en&text=non%0A&op=translate"
"qui","here","Adverbs","https://preview.duolingo.com/dictionary/Italian/qui/bc89e6c55330c7acda8a1655b34c831b","","https://translate.google.com/?sl=it&tl=en&text=qui%0A&op=translate"
"chiedere","ask, (to) ask, (to) ask for","Verbs:-Infinitive-1","https://preview.duolingo.com/dictionary/Italian/chiedere/656c06bb5cb3d31380bc4590de28fab0","","https://translate.google.com/?sl=it&tl=en&text=chiedere%0A&op=translate"
"un","a, an, one","Basics-1","https://preview.duolingo.com/dictionary/Italian/un/f307466f47c67abaac27bb280adbf01a","","https://translate.google.com/?sl=it&tl=en&text=un%0A&op=translate"
"se","if, whether, (impersonal) you","Clitic-Pronouns-1","https://preview.duolingo.com/dictionary/Italian/se/390a1751cab9ff8c20a211fe1cef9105","","https://translate.google.com/?sl=it&tl=en&text=se%0A&op=translate"
"lo","it, the, him","Basics-2","https://preview.duolingo.com/dictionary/Italian/lo/c98baa89da824347cfbaf65911f77fd8","","https://translate.google.com/?sl=it&tl=en&text=lo%0A&op=translate"
"metterla","put in, put (in), put on","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/metterla/8e528a944dab3f0916dc288250693789","","https://translate.google.com/?sl=it&tl=en&text=metterla%0A&op=translate"
"il","the","Basics-1","https://preview.duolingo.com/dictionary/Italian/il/240856ea5c862d792b9b61e79b27bdc4","","https://translate.google.com/?sl=it&tl=en&text=il%0A&op=translate"
"chi","who, whom","Pronouns","https://preview.duolingo.com/dictionary/Italian/chi/ca36c4fef6625f8b0bcc0dfb3b46951d","","https://translate.google.com/?sl=it&tl=en&text=chi%0A&op=translate"
"passarti","pass, pass you, pass off","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/passarti/7b6e86258a44012ce13f2d4136f6a866","","https://translate.google.com/?sl=it&tl=en&text=passarti%0A&op=translate"
"glielo","it, it to him, it to her","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/glielo/fa698f468170d3fd28b62c49f72cfdae","","https://translate.google.com/?sl=it&tl=en&text=glielo%0A&op=translate"
"dirgli","tell, tell him, tell oneself","Verbs:-Infinitive-2","https://preview.duolingo.com/dictionary/Italian/dirgli/68a81fea4847549932caaa11cf62401c","","https://translate.google.com/?sl=it&tl=en&text=dirgli%0A&op=translate"
"due","two","Numbers","https://preview.duolingo.com/dictionary/Italian/due/ed99d0af71d4c9ff6718e9a99a0c33ab","","https://translate.google.com/?sl=it&tl=en&text=due%0A&op=translate"
"in","in, to, on","Prepositions","https://preview.duolingo.com/dictionary/Italian/in/ccfb8cd3bdb3f23131719b2cd10babca","","https://translate.google.com/?sl=it&tl=en&text=in%0A&op=translate"
