"a","Of (a-class); and","Exercise","https://preview.duolingo.com/dictionary/Hawaiian/a/a4552b69648cba31122343d7ba41d849","","https://translate.google.com/?sl=haw&tl=en&text=a%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a"
"a hui hou","See you later!","GreetingsandGoodbyes","https://preview.duolingo.com/dictionary/Hawaiian/a-hui%20hou/4a87aacd90bd7cff1828bb51c24b59bd","","https://translate.google.com/?sl=haw&tl=en&text=a+hui+hou%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a+hui+hou"
"a i ʻole","Or","Likes-&-Dislikes","https://preview.duolingo.com/dictionary/Hawaiian/a-i%20%CA%BBole/c0a0aab8b32fe149d544072eb55678c3","","https://translate.google.com/?sl=haw&tl=en&text=a+i+%CA%BBole%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a+i+%CA%BBole"
"a laila","Then","Exercise","https://preview.duolingo.com/dictionary/Hawaiian/a-laila/3cbc0511e75256b51c38075fc57d6ee9","","https://translate.google.com/?sl=haw&tl=en&text=a+laila%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a+laila"
"a me","And (followed by noun)","Likes-&-Dislikes","https://preview.duolingo.com/dictionary/Hawaiian/a-me/43786b1bf28e6c944189208e94a7fd89","","https://translate.google.com/?sl=haw&tl=en&text=a+me%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a+me"
"a pau","To the end, ""all the"" (i ka lā a pau)","Habits","https://preview.duolingo.com/dictionary/Hawaiian/a-pau/c84da1ad2ea41b5c8e86816b1208393d","","https://translate.google.com/?sl=haw&tl=en&text=a+pau%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=a+pau"
"ʻaʻala","Fragrant","numbers1","https://preview.duolingo.com/dictionary/Hawaiian/%CA%BBa%CA%BBala/7c40113c82573efd020481d19fc0eb44","","https://translate.google.com/?sl=haw&tl=en&text=%CA%BBa%CA%BBala%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=%CA%BBa%CA%BBala"
"ʻae","Yes","Sounds","https://preview.duolingo.com/dictionary/Hawaiian/%CA%BBae/d49cdde651129f3969f93b204909da7d","","https://translate.google.com/?sl=haw&tl=en&text=%CA%BBae%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=%CA%BBae"
"aha","What","PersonalDetail","https://preview.duolingo.com/dictionary/Hawaiian/aha/a627d9b4fc085ef4413b1edf2e531a7b","","https://translate.google.com/?sl=haw&tl=en&text=aha%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=aha"
"ʻaha","Meeting, gathering, party","Playing-Music","https://preview.duolingo.com/dictionary/Hawaiian/%CA%BBaha/3c8ed7b8403a236c4e5016f090be5157","","https://translate.google.com/?sl=haw&tl=en&text=%CA%BBaha%0A&op=translate","https://hilo.hawaii.edu/wehe/?q=%CA%BBaha"
